Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Myl12a,1.8513074778816e-09,0.490831007322638,0.525,0.499,4.84709323858961e-05
Micu3,1.86490111041132e-09,-2.25513761378275,0.008,0.035,4.88268408727893e-05
Rab3d,1.87712911757488e-09,0.917432301232651,0.155,0.105,4.91469945563455e-05
Trpm7,1.88708431059646e-09,-0.328294441610139,0.177,0.257,4.94076414200366e-05
Ift74,1.90923238275289e-09,-1.35257445155634,0.02,0.055,4.99875222452362e-05
Ube4a,1.94849863966601e-09,-0.580974954333476,0.098,0.159,5.10155913837356e-05
Ssh2,2.00476786243006e-09,-0.331493178857291,0.114,0.182,5.24888321741437e-05
Tlr3,2.0058055072639e-09,-1.05309515221764,0.037,0.08,5.25159997911835e-05
Ubqln4,2.00744677551017e-09,-0.802952749141046,0.047,0.094,5.25589714764074e-05
Babam1,2.03338183892309e-09,-0.446396825962276,0.14,0.211,5.32380033066842e-05
Ddx52,2.04436231144105e-09,-0.509752005866127,0.096,0.157,5.35254940381496e-05
Mthfd2,2.07368976191526e-09,0.831579338192015,0.134,0.086,5.42933453464653e-05
Rpl22l1,2.08385361150921e-09,1.12693801752181,0.103,0.061,5.45594552565341e-05
Timmdc1,2.11417095406421e-09,-0.795083682365878,0.045,0.091,5.53532239193093e-05
Xpnpep1,2.12703464474991e-09,-0.452213208804448,0.094,0.156,5.56900210688421e-05
Smim15,2.15727138833901e-09,-0.255139439492919,0.218,0.306,5.64816794894921e-05
Map7d1,2.19786868382686e-09,-0.267578431155006,0.26,0.352,5.75445978799549e-05
Cd80,2.20866722467028e-09,-0.647583773079294,0.071,0.126,5.78273252763172e-05
